City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Hangu,CN,39.2489,117.7892,48.24,77,3,7.52,clear sky
80,Rikitea,PF,-23.1203,-134.9692,78.26,83,44,13.02,light rain
81,Cayenne,GF,4.9333,-52.3333,78.84,1,75,6.91,light rain
82,Cururupu,BR,-1.8283,-44.8683,84.13,69,37,6.76,scattered clouds
83,Barao De Melgaco,BR,-16.1944,-55.9675,87.28,22,0,3.76,clear sky
84,Namibe,AO,-15.1961,12.1522,77.63,69,0,13.8,clear sky
85,Qui Nhon,VN,13.7667,109.2333,76.26,92,30,6.62,scattered clouds
86,Vinukonda,IN,16.05,79.75,84.94,70,63,8.77,broken clouds
87,Thompson,CA,55.7435,-97.8558,59.16,55,100,6.91,overcast clouds
88,Chuy,UY,-33.6971,-53.4616,69.22,53,0,3.85,clear sky
89,Zhanaozen,KZ,43.3,52.8,63.86,58,11,25.32,few clouds
90,Kavieng,PG,-2.5744,150.7967,82.56,77,63,11.97,broken clouds
91,Sistranda,NO,63.7256,8.834,44.56,83,100,25.52,light rain
92,Ballangen,NO,68.3428,16.8315,44.82,93,75,3.44,light rain
93,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,100,10.58,overcast clouds
94,Tasiilaq,GL,65.6145,-37.6368,30.36,54,9,4.72,clear sky
95,Thanh Hoa,VN,19.8,105.7667,73.89,89,99,0.74,overcast clouds
96,Athabasca,CA,54.7169,-113.2854,50.41,89,100,16.55,overcast clouds
97,Ahipara,NZ,-35.1667,173.1667,55.53,86,0,3.49,clear sky
98,Padang,ID,-0.9492,100.3543,76.6,93,100,2.21,overcast clouds
99,Castro,BR,-24.7911,-50.0119,67.42,56,3,1.63,clear sky
100,Klaksvik,FO,62.2266,-6.589,43.72,61,99,17.74,overcast clouds
101,Mount Gambier,AU,-37.8333,140.7667,46.31,93,94,10.36,overcast clouds
102,Mataura,NZ,-46.1927,168.8643,51.48,93,100,3.33,overcast clouds
103,Gorontalo,ID,0.5412,123.0595,75.24,95,79,3.02,broken clouds
104,Gazojak,TM,41.1875,61.4036,83.14,26,92,6.93,overcast clouds
105,Imbituba,BR,-28.24,-48.6703,70.86,64,0,9.51,clear sky
106,Port Hardy,CA,50.6996,-127.4199,48.2,81,75,5.75,broken clouds
107,Santa Cruz,BO,-17.8,-63.1667,82.45,34,0,5.75,clear sky
108,Georgetown,MY,5.4112,100.3354,84.13,87,20,5.75,few clouds
109,Marsabit,KE,2.3284,37.9899,69.73,63,74,16.04,broken clouds
110,Bustamante,MX,26.5333,-100.5,95.94,35,0,4.92,clear sky
111,Pevek,RU,69.7008,170.3133,26.67,86,100,1.54,overcast clouds
112,Kalmunai,LK,7.4167,81.8167,82.13,81,100,3.4,moderate rain
113,Lakatoro,VU,-16.0999,167.4164,77.38,76,7,10.13,clear sky
114,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,36,100,9.22,overcast clouds
115,Cabo Rojo,PR,18.0866,-67.1457,86.05,71,21,7.0,few clouds
116,Richards Bay,ZA,-28.783,32.0377,66.85,91,0,6.53,clear sky
117,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,41,0,4.61,clear sky
118,Barrow,US,71.2906,-156.7887,19.42,93,100,13.8,overcast clouds
119,New Norfolk,AU,-42.7826,147.0587,49.66,75,100,4.0,moderate rain
120,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,12.66,scattered clouds
121,Belaya Gora,RU,68.5333,146.4167,23.79,97,100,3.31,overcast clouds
122,Umea,SE,63.8284,20.2597,44.53,70,0,10.36,clear sky
123,Nelson Bay,AU,-32.7167,152.15,50.0,90,0,13.69,clear sky
124,Egersund,NO,58.4513,5.9997,50.09,98,100,8.59,light rain
125,Kodiak,US,57.79,-152.4072,44.11,70,100,6.91,overcast clouds
126,Guanay,BO,-15.4975,-67.8797,85.08,47,4,2.71,clear sky
127,Husavik,IS,66.0449,-17.3389,35.58,61,32,0.74,scattered clouds
128,Lagoa,PT,39.05,-27.9833,60.78,75,0,9.8,clear sky
129,Narsaq,GL,60.9167,-46.05,41.22,100,100,1.28,light rain
130,Chokurdakh,RU,70.6333,147.9167,14.02,97,100,3.15,overcast clouds
131,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,84,100,11.52,overcast clouds
132,Beringovskiy,RU,63.05,179.3167,23.7,89,100,5.46,overcast clouds
133,Alice Springs,AU,-23.7,133.8833,40.55,65,16,0.0,few clouds
134,Willmar,US,45.1219,-95.0433,69.75,33,0,13.8,clear sky
135,Puerto Madero,MX,14.7208,-92.4215,91.6,58,75,6.91,broken clouds
136,San Marcos,US,33.1434,-117.1661,87.71,58,0,6.91,clear sky
137,Kruisfontein,ZA,-34.0033,24.7314,58.48,89,85,9.1,overcast clouds
138,Ryotsu,JP,38.0833,138.4333,58.33,68,0,3.38,clear sky
139,Deputatskiy,RU,69.3,139.9,10.42,99,99,3.44,overcast clouds
140,Hermanus,ZA,-34.4187,19.2345,55.8,87,100,3.29,light rain
141,At-Bashi,KG,41.1702,75.8106,56.88,65,100,3.71,overcast clouds
142,Vaini,TO,-21.2,-175.2,73.56,88,40,4.61,scattered clouds
143,Sola,VU,-13.8833,167.55,81.39,75,33,18.66,scattered clouds
144,Matara,LK,5.9485,80.5353,81.14,86,100,10.6,overcast clouds
145,Itacoatiara,BR,-3.1431,-58.4442,83.73,82,82,3.98,broken clouds
146,Baghdad,IQ,33.3406,44.4009,76.33,19,0,8.19,clear sky
147,Laguna,US,38.421,-121.4238,74.14,63,0,9.22,clear sky
148,Nara,JP,34.6851,135.8049,60.49,69,6,3.04,clear sky
149,Hobart,AU,-42.8794,147.3294,50.02,87,100,16.11,overcast clouds
150,Ozernovskiy,RU,51.5,156.5167,42.91,56,98,12.03,overcast clouds
151,Goderich,CA,43.7501,-81.7165,64.72,39,100,19.57,overcast clouds
152,Verkhnevilyuysk,RU,63.4453,120.3167,35.89,94,100,6.85,overcast clouds
153,Luwuk,ID,-0.9516,122.7875,77.76,86,25,2.24,scattered clouds
